,x,y,time,theta
43.0,1082.14599609375,280.51739501953125,0.7954869270324707,-0.08705409706634004
44.0,1083.8363037109375,245.89340209960938,0.8122694492340088,-0.11317454015806702
45.0,1085.7142333984375,219.85130310058594,0.8287832736968994,-0.13286347158873882
46.0,1086.6539306640625,201.2778778076172,0.8457980155944824,-0.14692585800359068
47.0,1086.9449462890625,191.1286163330078,0.8633129596710205,-0.1546166093712247
48.0,1087.870361328125,192.3070526123047,0.879326581954956,-0.15372340662277925
49.0,1083.1888427734375,204.6421661376953,0.895341157913208,-0.1443775087047713
50.0,1083.088623046875,224.42506408691406,0.9128563404083252,-0.12940305362358867
51.0,1079.4420166015625,250.69281005859375,0.9293696880340576,-0.10954983015329503
52.0,1076.760498046875,286.1628723144531,0.9458837509155273,-0.08280180018681066
53.0,1074.137939453125,329.8221130371094,0.9626979827880859,-0.04998604339227303
54.0,1076.9573974609375,375.2818298339844,0.9792122840881348,-0.015960435849591614
55.0,1077.7742919921875,427.5090026855469,0.997227668762207,0.022926024029004677
56.0,1079.7320556640625,470.8038635253906,1.0127408504486084,0.05497743834301427
57.0,1075.5,514.5,1.0287554264068604,0.08714011534658084
58.0,1075.44091796875,554.1080322265625,1.045769214630127,0.11612002638374258
59.0,1075.7391357421875,583.992919921875,1.0622832775115967,0.1378697544604629
60.0,1079.930419921875,605.5626220703125,1.079298496246338,0.15350299476389145
61.0,1080.4000244140625,616.0,1.0958123207092285,0.1610477013750778
62.0,1080.2425537109375,617.6322631835938,1.1123268604278564,0.1622263890177733
63.0,1078.23681640625,613.5991821289062,1.1293411254882812,0.1593134336101083
64.0,1076.8165283203125,598.716064453125,1.1458549499511719,0.14854677244923148
65.0,1074.8929443359375,579.246337890625,1.1628696918487549,0.13442215500221244
66.0,1077.073486328125,552.3177490234375,1.1788842678070068,0.11481385809930911
67.0,1077.6314697265625,522.8484497070312,1.1953985691070557,0.0932625389509113
68.0,1076.4312744140625,490.6755065917969,1.2122735977172852,0.0696280664934717
69.0,1082.77587890625,456.617919921875,1.22928786277771,0.04449496790059648
70.0,1081.2275390625,422.0913391113281,1.2453572750091553,0.018903145200665217
71.0,1075.7135009765625,387.4269714355469,1.2633585929870605,-0.006897186455680382
72.0,1080.0172119140625,351.9482727050781,1.2793729305267334,-0.03340568065566529
73.0,1081.6329345703125,322.2041015625,1.2953870296478271,-0.05570276466978319
74.0,1082.009765625,297.32684326171875,1.3127644062042236,-0.07439869005764102
75.0,1083.052001953125,277.6521301269531,1.3292782306671143,-0.08921301919300545
76.0,1082.5,266.0,1.3467929363250732,-0.09799770521656809
77.0,1083.5,265.0,1.362806797027588,-0.09875198706766442
78.0,1082.572998046875,270.3570251464844,1.3788211345672607,-0.0947119557975109
79.0,1082.9608154296875,281.60723876953125,1.3958361148834229,-0.08623305118986027
80.0,1079.0118408203125,302.7329406738281,1.4128496646881104,-0.0703323800466335
81.0,1079.8057861328125,329.91326904296875,1.4293639659881592,-0.04991766261477237
